elapsed_time,tempC_amb,elapsed_time_formatted,tempF_amb,tempC_probe,tempF_probe,time_stamp,humidity
2432,1.0,0:40:32,33.8,6.25,43.25,08/12/19 20:06:26,27.0
2442,1.0,0:40:42,33.8,6.187,43.1366,08/12/19 20:06:36,27.0
2452,1.0,0:40:52,33.8,6.125,43.025,08/12/19 20:06:46,27.0
2462,1.0,0:41:02,33.8,6.062,42.9116,08/12/19 20:06:56,27.0
2472,1.0,0:41:12,33.8,6.0,42.8,08/12/19 20:07:06,27.0
2482,1.0,0:41:22,33.8,5.937,42.6866,08/12/19 20:07:16,27.0
2492,1.0,0:41:32,33.8,5.937,42.6866,08/12/19 20:07:26,27.0
2502,1.0,0:41:42,33.8,5.875,42.575,08/12/19 20:07:36,27.0
2512,1.0,0:41:52,33.8,5.812,42.461600000000004,08/12/19 20:07:46,27.0
2522,1.0,0:42:02,33.8,5.75,42.35,08/12/19 20:07:56,27.0
2532,1.0,0:42:12,33.8,5.687,42.2366,08/12/19 20:08:06,27.0
2542,1.0,0:42:22,33.8,5.625,42.125,08/12/19 20:08:16,27.0
2552,1.0,0:42:32,33.8,5.562,42.125,08/12/19 20:08:26,27.0
2562,1.0,0:42:42,33.8,5.562,42.0116,08/12/19 20:08:36,27.0
2572,1.0,0:42:52,33.8,5.5,41.9,08/12/19 20:08:46,27.0
2582,1.0,0:43:02,33.8,5.437,41.7866,08/12/19 20:08:56,27.0
2592,1.0,0:43:12,33.8,5.375,41.675,08/12/19 20:09:06,27.0
2602,1.0,0:43:22,33.8,5.312,41.5616,08/12/19 20:09:16,27.0
2612,1.0,0:43:32,33.8,5.25,41.5616,08/12/19 20:09:26,27.0
2622,1.0,0:43:42,33.8,5.187,41.45,08/12/19 20:09:36,27.0
2632,1.0,0:43:52,33.8,5.187,41.336600000000004,08/12/19 20:09:46,27.0
2642,1.0,0:44:02,33.8,5.125,41.225,08/12/19 20:09:56,27.0
2652,1.0,0:44:12,33.8,5.062,41.1116,08/12/19 20:10:06,27.0
2662,1.0,0:44:22,33.8,5.0,41.0,08/12/19 20:10:16,27.0
2672,1.0,0:44:32,33.8,4.937,40.8866,08/12/19 20:10:26,27.0
